JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
401042,Aleksandrów Kujawski,18.66703,52.85675
808022,Łagów,15.27168,52.28573
610042,Milejów,22.94618,51.22389
2003052,Brańsk,22.84883,52.74090
2004043,Rajgród,22.65199,53.67838
1817011,Sanok,22.21488,49.56089
208041,Nowa Ruda,16.52106,50.57112
1005042,Domaniewice,19.80528,52.02424
1006113,Tuszyn,19.53990,51.58009
1010022,Czarnocin,19.66593,51.59247
2607043,Ćmielów,21.53207,50.90742
2609022,Dwikozy,21.78242,50.74726
3010123,Ślesin,18.32490,52.36531
3011032,Kościan,16.67757,52.07681
1413042,Radzanów,20.12711,52.94302
1402072,Opinogóra Górna,20.73709,52.91563
1604023,Kluczbork,18.21465,50.97916
2001062,Płaska,23.30077,53.87377
2002023,Czarna Białostocka,23.24514,53.31455
2002042,Gródek,23.65675,53.12083
1013052,Regnów,20.39972,51.74644
3027062,Przykona,18.65091,51.99137
3007102,Szczytniki,18.32626,51.68715
2803032,Iłowo-Osada,20.29821,53.18778
1428042,Młodzieszyn,20.18775,52.32007
201032,Gromadka,15.73585,51.40782
208021,Kłodzko,16.64484,50.43670
1004052,Łęczyca,19.14375,52.06483
210033,Leśna,15.27463,51.01034
403043,Koronowo,17.88717,53.32937
803012,Bledzew,15.39707,52.52189
601132,Rossosz,23.10887,51.84767
602092,Łukowa,22.96681,50.39645
810053,Małomice,15.49098,51.55581
1204032,Gręboszów,20.79006,50.24728
1406073,Mogielnica,20.72177,51.67997
1403032,Borowie,21.78393,51.95285
1425112,Wierzbica,21.09631,51.24833
1427032,Mochowo,19.53673,52.77990
1816033,Boguchwała,21.87390,49.99312
1814073,Sieniawa,22.66145,50.18526
2404152,Rędziny,19.22476,50.87745
2409053,Żarki,19.36693,50.63593
2010052,Mielnik,23.10138,52.35361
3009113,Przedecz,18.94243,52.33874
1403042,Garwolin,21.55818,51.88997
1609062,Murów,17.99747,50.88445
1803023,Brzostek,21.43081,49.89716
1436022,Policzna,21.67355,51.43341
2006022,Grabowo,22.16770,53.47462
1607063,Otmuchów,17.17313,50.45223
414102,Świekatowo,18.11425,53.41723
202011,Bielawa,16.60342,50.67573
207011,Kamienna Góra,16.02657,50.78244
614083,Nałęczów,22.22926,51.30350
2206062,Lipusz,17.77159,54.10004
402053,Górzno,19.65773,53.19334
607011,Kraśnik,22.20776,50.94280
663011,Lublin,22.55662,51.22575
806032,Stare Kurowo,15.68923,52.84509
1214053,Proszowice,20.34291,50.20031
1215011,Jordanów,19.83562,49.65237
801052,Lubiszyn,14.98341,52.79892
802072,Maszewo,14.93211,52.12820
609072,Jastków,22.40341,51.29774
609102,Niedrzwica Duża,22.38855,51.11790
