TERYT Gmina,Nazwa Gminy,RODZAJ,Długość,Szerokość
609042,Garbów,gmina,"732865,095666972","394495,029321234"
810021,Żagań,gmina,"244287,090805229","422367,29875654"
2201072,Parchowo,gmina,"413909,876024734","705513,570771377"
1013062,Sadkowice,gmina,"607219,699485308","428263,94908555"
1426072,Przesmyki,gmina,"746260,062773984","496154,913506937"
1204062,Radgoszcz,gmina,"651088,341104865","260594,933056118"
3204062,Przybiernów,gmina,"224835,425868694","661202,87726821"
3203033,Kalisz Pomorski,gmina,"288727,098881388","611929,433429571"
610052,Puchaczów,gmina,"779358,345797063","388830,293964858"
611082,Stoczek Łukowski,gmina,"707129,576188189","458389,848926084"
1427052,Sierpc,gmina,"544626,103642539","552312,952817489"
1427042,Rościszewo,gmina,"551242,509650407","560697,525683895"
1429062,Repki,gmina,"733492,143472753","507016,972246298"
1429042,Jabłonna Lacka,gmina,"734199,308346301","518790,861988606"
2209011,Malbork,gmina,"502454,56138851","685089,884580213"
1017062,Ostrówek,gmina,"474418,321063628","385251,217183297"
1402062,Ojrzeń,gmina,"602968,763098179","545740,038952978"
1210022,Chełmiec,gmina,"621123,571624714","199805,885672347"
1210062,Korzenna,gmina,"631923,928124369","204481,374734166"
202052,Dzierżoniów,gmina,"334942,343554455","321178,195461204"
408073,Skępe,gmina,"525049,464526378","556435,08877831"
408032,Chrostkowo,gmina,"515886,171318734","565031,028293012"
3209063,Polanów,gmina,"345538,367654603","697236,900843577"
615052,Komarówka Podlaska,gmina,"772733,531890801","447918,232138892"
2209042,Malbork,gmina,"502421,372993322","687586,549513342"
1020072,Parzęczew,gmina,"514322,880394042","452699,038640208"
1020021,Ozorków,gmina,"519998,504080486","454650,849081604"
1808022,Grodzisko Dolne,gmina,"745926,88916313","260931,067452672"
1809011,Lubaczów,gmina,"794174,364548519","262514,196748367"
204022,Jemielno,gmina,"327822,120131755","413029,748078673"
3213062,Sławno,gmina,"351589,107240249","722909,073508925"
3213011,Darłowo,gmina,"331963,003308445","732055,713931699"
618092,Tarnawatka,gmina,"811498,266754073","304549,835637213"
618082,Susiec,gmina,"798498,508087701","293058,703718705"
210072,Siekierczyn,gmina,"233420,042323227","367949,414984135"
211022,Lubin,gmina,"304739,215950487","392341,445934103"
211043,Ścinawa,gmina,"318705,747415732","395471,895748683"
415082,Wielka Nieszawka,gmina,"469622,411253527","565317,190948778"
601072,Konstantynów,gmina,"780330,052177999","490381,470166667"
812033,Wschowa,gmina,"313344,085385817","442505,191996661"
1002052,Krzyżanów,gmina,"530279,236773058","477669,68806296"
1003023,Łask,gmina,"507884,73001769","416323,695160407"
1004011,Łęczyca,gmina,"513550,834360579","465479,782292234"
1416092,Szulborze Wielkie,gmina,"718797,992814169","548640,69488988"
1435032,Rząśnik,gmina,"661594,215319747","540362,842954279"
1435022,Długosiodło,gmina,"673767,260860271","547367,858035226"
1435062,Zabrodzie,gmina,"665455,325366143","518396,127076413"
1437042,Lutocin,gmina,"551711,907018518","570821,007270707"
1815033,Ropczyce,gmina,"683931,865092901","243221,519363941"
1262011,Nowy Sącz,gmina,"623122,903911902","194730,623232425"
214011,Oleśnica,gmina,"387088,135653191","372305,68656019"
214032,Dobroszyce,gmina,"383643,69763077","382151,9606039"
417011,Wąbrzeźno,gmina,"496683,434520318","601457,73991208"
418072,Fabianki,gmina,"506865,643949571","538096,54591815"
801022,Bogdaniec,gmina,"236094,57070502","542501,018256888"
1005062,Kocierzew Południowy,gmina,"569375,277844086","482370,939769706"
1419012,Bielsk,gmina,"554338,648543523","532794,901747302"
2002023,Czarna Białostocka,gmina,"782661,036784094","613893,993153151"
2002042,Gródek,gmina,"811465,897223972","594083,01025848"
2002133,Wasilków,gmina,"779488,77886928","603805,36084162"
2002103,Suraż,gmina,"768783,359279544","571471,912493214"
603022,Białopole,gmina,"835777,321009781","355636,079699444"
603132,Wojsławice,gmina,"820068,892948992","350320,446488939"
804043,Kożuchów,gmina,"263433,44731907","438033,189380818"
1007082,Żarnów,gmina,"579702,902816971","375131,123923195"
1419053,Drobin,gmina,"564644,653260476","539524,035456181"
1420052,Dzierzążnia,gmina,"582672,076077357","527197,127347698"
1420072,Naruszewo,gmina,"590843,350829556","517883,230642392"
2003021,Brańsk,gmina,"758923,911498284","551050,505214391"
2003042,Boćki,gmina,"774040,519853667","537705,900455257"
805043,Rzepin,gmina,"212878,001992547","508180,517590031"
1009082,Sulmierzyce,gmina,"513067,386433086","369896,133688422"
1009022,Kiełczygłów,gmina,"497563,448598474","375386,965691933"
1009043,Pajęczno,gmina,"501189,696107398","361400,505370197"
1009032,Nowa Brzeźnica,gmina,"511197,894528106","354041,812223814"
1813012,Bircza,gmina,"747632,185478502","207989,892241106"
2807043,Kisielice,gmina,"517581,388425749","636889,112283491"
1812012,Harasiuki,gmina,"745412,018893606","298294,857308851"
605053,Janów Lubelski,gmina,"739069,126150853","315446,160096459"
2402072,Kozy,gmina,"510087,040506936","218542,096649264"
