jpt_nazwa_,ID,Powiat_ID,Długość,Szerokość
powiat kłobucki,2406,p_2406,18.86,50.94
powiat gliwicki,2405,p_2405,18.54,50.36
powiat lubliniecki,2407,p_2407,18.77,50.68
powiat mikołowski,2408,p_2408,18.83,50.14
powiat myszkowski,2409,p_2409,19.31,50.61
powiat pszczyński,2410,p_2410,18.88,49.99
powiat raciborski,2411,p_2411,18.25,50.11
powiat rybnicki,2412,p_2412,18.55,50.12
powiat tarnogórski,2413,p_2413,18.82,50.48
powiat bieruńsko-lędziński,2414,p_2414,19.14,50.10
powiat wodzisławski,2415,p_2415,18.43,50.00
powiat zawierciański,2416,p_2416,19.61,50.52
powiat żywiecki,2417,p_2417,19.19,49.61
powiat Jastrzębie-Zdrój,2467,p_2467,18.61,49.96
powiat Chorzów,2463,p_2463,18.96,50.29
powiat Bielsko-Biała,2461,p_2461,19.04,49.81
powiat Bytom,2462,p_2462,18.88,50.36
powiat Dąbrowa Górnicza,2465,p_2465,19.30,50.35
powiat Częstochowa,2464,p_2464,19.12,50.81
powiat Gliwice,2466,p_2466,18.65,50.30
powiat Piekary Śląskie,2471,p_2471,18.97,50.37
powiat Katowice,2469,p_2469,19.02,50.22
powiat Jaworzno,2468,p_2468,19.29,50.20
powiat Mysłowice,2470,p_2470,19.15,50.20
powiat Rybnik,2473,p_2473,18.54,50.11
powiat myśliborski,3210,p_3210,14.88,52.87
powiat policki,3211,p_3211,14.43,53.57
powiat złotoryjski,226,p_0226,15.88,51.10
powiat Legnica,262,p_0262,16.17,51.20
powiat jeleniogórski,206,p_0206,15.69,50.86
powiat oleśnicki,214,p_0214,17.51,51.26
powiat bolesławiecki,201,p_0201,15.54,51.34
powiat kłodzki,208,p_0208,16.61,50.37
powiat golubsko-dobrzyński,405,p_0405,19.03,53.10
powiat lubański,210,p_0210,15.28,51.08
powiat trzebnicki,220,p_0220,17.00,51.37
powiat Wałbrzych,265,p_0265,16.29,50.79
powiat grudziądzki,406,p_0406,18.96,53.48
powiat inowrocławski,407,p_0407,18.30,52.79
powiat wołowski,222,p_0222,16.62,51.37
powiat aleksandrowski,401,p_0401,18.73,52.80
powiat wrocławski,223,p_0223,16.97,51.02
powiat ząbkowicki,224,p_0224,16.88,50.57
powiat brodnicki,402,p_0402,19.43,53.26
powiat bydgoski,403,p_0403,18.01,53.19
powiat oławski,215,p_0215,17.31,50.96
powiat polkowicki,216,p_0216,15.99,51.51
powiat średzki,218,p_0218,16.62,51.13
powiat milicki,213,p_0213,17.32,51.52
powiat strzeliński,217,p_0217,17.09,50.77
powiat świdnicki,219,p_0219,16.44,50.89
powiat legnicki,209,p_0209,16.14,51.23
powiat lubiński,211,p_0211,16.28,51.42
powiat lwówecki,212,p_0212,15.53,51.03
powiat lipnowski,408,p_0408,19.24,52.81
powiat wąbrzeski,417,p_0417,18.93,53.28
powiat sępoleński,413,p_0413,17.53,53.42
powiat włocławski,418,p_0418,19.03,52.53
powiat świecki,414,p_0414,18.40,53.51
powiat toruński,415,p_0415,18.66,53.04
powiat żniński,419,p_0419,17.75,52.82
powiat Bydgoszcz,461,p_0461,18.05,53.13
powiat mogileński,409,p_0409,18.07,52.64
powiat Grudziądz,462,p_0462,18.77,53.47
powiat Toruń,463,p_0463,18.62,53.02
powiat Włocławek,464,p_0464,19.06,52.66
powiat radziejowski,411,p_0411,18.61,52.58
powiat nakielski,410,p_0410,17.58,53.09
powiat rypiński,412,p_0412,19.42,53.05
powiat tucholski,416,p_0416,17.95,53.58
powiat chełmiński,404,p_0404,18.52,53.30
powiat wałbrzyski,221,p_0221,16.26,50.74
