JPT_NAZWA_,JPT_KOD_JE,longitude,latitude,mean_longitude,mean_latitude
powiat łosicki,1410,762207.4706165945,491244.9370368027,761683.5092281789,491033.74031860195
powiat kolbuszowski,1806,699108.6086384117,273745.1452926366,697251.75480282,275986.362506825
powiat łódzki wschodni,1006,545259.7078080553,423984.64444189746,540633.1854160754,424567.3351535159
powiat zduńskowolski,1019,495880.3151891035,419110.5772442821,496355.47819613037,417104.1895507211
powiat Częstochowa,2464,508331.0018883826,326485.0471994215,508765.2316018886,326976.4618254113
powiat brzeski,1601,392768.95813929505,326065.8613181682,396659.0678311046,325951.5963104549
powiat bełchatowski,1001,517216.2140361848,388179.60347628227,519228.4160198766,389141.27977202367
powiat pajęczański,1009,502141.56646583474,365184.0904981815,501317.7407499604,363839.9342620922
powiat lidzbarski,2809,591988.3229620688,695299.9137080935,593082.3887682789,694249.7075595018
powiat żarski,0811,220868.225656074,430881.0124631084,224107.92034615896,425692.5802851934
powiat nowomiejski,2812,534975.6911465795,619372.1029135216,538065.8468295481,619117.2332934663
powiat sanocki,1817,727204.1990346999,181632.2892059818,725409.3288893455,178702.99882336007
powiat raciborski,2411,446272.6353060067,250006.28788966328,442697.67175785697,246840.29730520444
powiat Kalisz,3061,436230.74642479926,431242.6423574352,436482.0220127589,431615.1399531397
powiat Grudziądz,0462,484964.3301047398,623043.4023987046,484193.763334357,623077.3626355496
powiat gryfiński,3206,198254.0414147592,582312.6513487549,198322.1227414108,582413.9508816805
powiat Konin,3062,449649.47191606247,487953.5234668527,450043.87451365904,488038.9642949328
powiat sierpecki,1427,546800.3050573489,551739.652542031,546575.6459907473,552158.3724947851
powiat stalowowolski,1818,714390.2751253571,310230.85771450197,718707.6842340525,307037.8860212914
powiat Lublin,0663,748243.2974079157,379235.0320866365,748263.9408566558,378422.78691991465
powiat Tarnów,1263,641303.263230952,241550.4360664342,640662.8171796009,241658.982015518
powiat bartoszycki,2801,614524.9060324152,710705.661014824,602099.1775262952,706548.949276743
powiat białobrzeski,1401,635211.804219318,418994.76483076625,638323.8339767251,419001.76664513303
powiat bielski,2402,503485.8969665969,218582.8528504814,493476.30870322697,215392.36100070179
powiat ząbkowicki,0224,349826.6654704524,302702.82146967086,348756.80369821726,301018.3621172183
powiat Bytom,2462,491297.6307444179,277391.47667564463,490924.02992904314,277572.09367039986
powiat nyski,1607,382748.08362287976,291233.0334333202,378978.8054775249,289364.9776276853
powiat pilski,3019,363441.9656374014,590557.5140527777,357729.64286343264,589981.0997166471
powiat gryficki,3205,252556.79424524884,683310.550397762,254374.3990351194,681733.039869478
powiat kamieński,3207,221154.17069623875,678801.9216622073,218664.39908514143,679581.0436030705
powiat lubelski,0609,744305.2655119721,369260.6984128435,740276.6288476863,368762.3104752349
powiat janowski,0605,742076.5846893782,323339.84121978015,741513.3114236324,325617.94777586125
powiat Wałbrzych,0265,309041.4799927916,327886.17385737796,308696.98728643835,327801.5782634164
powiat jaworski,0205,300466.7894757476,354127.201143836,296281.92613014235,351897.29726973455
powiat świdnicki,0219,319907.4717356996,339440.22872232617,322396.90404647245,336913.3623969578
powiat opatowski,2606,676648.5599263964,333311.27393212845,687280.3003992827,337858.3986347937
powiat poznański,3021,360114.6077498854,504966.59494908387,379487.29840824334,507417.41946386825
powiat Słupsk,2263,371844.7204562854,735429.8864257961,371256.9008963766,735107.1041273396
powiat radomszczański,1012,543461.8371517252,354703.61566085264,544274.4875225456,355496.9700397812
powiat staszowski,2612,656884.3112891199,299219.80047356576,663692.8699605812,296745.1343182721
powiat szydłowiecki,1430,630593.4453259797,377099.1739449201,628855.8320903257,378275.8661183072
powiat kościerski,2206,434792.4492308785,687469.69102378,432694.56554285705,684345.8752467167
powiat piski,2816,687677.5118355898,647827.3613846406,686042.1961156204,650023.1422909354
powiat złotoryjski,0226,281547.820946724,364257.71184633876,281690.5618928708,362928.1709808628
powiat proszowicki,1214,595282.5319352478,260292.780335425,590364.1151093235,261851.62874715123
powiat Siedlce,1464,723647.904043556,482707.2988471611,724213.6527155408,482270.5861128066
powiat koszaliński,3209,328574.9776836938,697618.4808698817,332972.6258149412,696990.2741770558
powiat Biała Podlaska,0661,784016.0802235488,470744.93970010156,784503.5199991527,470555.74376604287
powiat świebodziński,0808,260288.06095612588,492550.62791562686,259478.9912116562,491900.7333460599
powiat grodziski,3005,319500.6760180455,482387.38109275926,320448.9094216125,480410.08386398805
powiat Koszalin,3261,317617.3842784253,707614.7675220848,318359.1489970763,708464.140953864
powiat nowotarski,1211,573876.5815954822,179716.0267962269,572898.8659313847,181126.43186471146
powiat otwocki,1417,662017.386708778,467410.5824691347,664258.0275913863,467232.77183753997
powiat Kraków,1261,570493.5169418084,243344.48672417624,569856.1851281677,242594.16245624982
powiat pleszewski,3020,418239.62394384324,450793.0345134017,418940.1506101269,451492.8550940552
powiat łęczyński,0610,776393.0380867419,389996.05421976896,777604.7360550374,389496.0963814887
powiat parczewski,0613,777034.9045128151,424635.86446704424,772107.7022141824,422360.75245619053
powiat opolski,1609,422507.79524612374,317647.0244671395,435463.0237030466,319219.6259294809
powiat Opole,1661,423563.48187224526,313042.80199628865,424501.6715646406,312976.3379629543
powiat wągrowiecki,3028,383478.5762301832,551033.6033662261,384687.3437349431,552604.7295164331
powiat Toruń,0463,474444.84872468445,572923.6139934475,472980.5905949593,572193.9809821737
powiat sławieński,3213,343687.099201909,726035.9312891172,342705.1949246647,726522.4062337121
powiat Jastrzębie-Zdrój,2467,472307.29088593915,232044.91777612644,471286.4295139534,232659.46375046857
powiat drawski,3203,300504.1574507891,627335.3192435197,303558.06725085666,624448.905088828
powiat kazimierski,2603,608375.2211223557,268818.40110267437,608465.5826256267,270074.33466148376
powiat suwalski,2012,751283.5375530786,707840.8716796834,743109.865444761,706987.9950836203
powiat głubczycki,1602,418543.9506790933,252697.01142648023,416731.68494676624,254117.27894979157
powiat sejneński,2009,781408.2487021924,699955.714860436,781210.9718246155,700864.1648513475
powiat jędrzejowski,2602,586509.7120996477,308976.62433088815,591780.9536733723,310746.7164438865
